Filename                                                                                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-global.cpp                                     318               318     0.00%           8                 8     0.00%         263               263     0.00%         139               139     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-handlers.cpp                                     8                 8     0.00%           2                 2     0.00%           8                 8     0.00%           2                 2     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-helpers-error.cpp                               13                13     0.00%           1                 1     0.00%          16                16     0.00%           7                 7     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-helpers-sort.cpp                                59                59     0.00%           2                 2     0.00%          86                86     0.00%          33                33     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-helpers.cpp                                    431               429     0.46%          15                14     6.67%         554               548     1.08%         238               238     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-internal-routines-template.inc.h                29                29     0.00%           1                 1     0.00%          54                54     0.00%           8                 8     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-intrinsic.cpp                                   79                79     0.00%           4                 4     0.00%         139               139     0.00%          46                46     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-iterator-prototype.cpp                           9                 9     0.00%           2                 2     0.00%          17                17     0.00%           4                 4     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-map-iterator-prototype.cpp                       9                 9     0.00%           2                 2     0.00%          17                17     0.00%           4                 4     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-map-prototype.cpp                                2                 2     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-map.cpp                                          6                 6     0.00%           3                 3     0.00%          13                13     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-math.cpp                                       192               175     8.85%           6                 5    16.67%         325               300     7.69%         151               113    25.17%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-number-prototype.cpp                           291               291     0.00%           5                 5     0.00%         399               399     0.00%         209               209     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-number.cpp                                      51                51     0.00%           4                 4     0.00%          79                79     0.00%          34                34     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-object-prototype.cpp                            59                59     0.00%           7                 7     0.00%         106               106     0.00%          30                30     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-object.cpp                                     410               410     0.00%          22                22     0.00%         720               720     0.00%         249               249     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-promise-prototype.cpp                            7                 7     0.00%           1                 1     0.00%          23                23     0.00%           8                 8     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-promise.cpp                                    149               149     0.00%           6                 6     0.00%         274               274     0.00%          85                85     0.00%
